Facilities with Publicly Reported Coronavirus Cases,,,
"Thousands of deaths from the coronavirus have been linked to nursing homes in recent weeks, but the federal government and many states have not identified the providers. Through media accounts and state health departments, The Post was able to identify more than 2,500 nursing homes that have had publicly reported cases of the virus among residents or staff as of Monday morning.

Note: With many states not releasing the names of facilities, the actual number of nursing homes impacted by the virus is likely far higher.                                ",,,
LAKEVIEW REHABILITATION AND CARE CENTER,Passaic,NJ,For profit
LLANFAIR HOUSE CARE & REHABILITATION CENTER,Passaic,NJ,For profit
MILFORD MANOR,Passaic,NJ,For profit
PHOENIX CENTER FOR REHABILITATION AND PEDIATRICS,Passaic,NJ,For profit
PREAKNESS HEALTHCARE CENTER,Passaic,NJ,Government
REGENCY GARDENS NURSING CENTER,Passaic,NJ,For profit
FRIENDS VILLAGE AT WOODSTOWN,Salem,NJ,Non profit
ABINGDON CARE & REHABILITATION CENTER,Somerset,NJ,For profit
"ARBOR AT LAUREL CIRCLE, THE",Somerset,NJ,For profit
BRIDGEWAY CARE AND REHAB CENTER AT BRIDGEWATER,Somerset,NJ,For profit
BRIDGEWAY CARE AND REHAB CENTER AT HILLSBOROUGH,Somerset,NJ,For profit
CARE ONE AT SOMERSET VALLEY,Somerset,NJ,For profit
COMPLETE CARE AT GREEN KNOLL,Somerset,NJ,For profit
FOOTHILL ACRES REHABILITATION & NURSING CENTER,Somerset,NJ,For profit
MCAULEY HALL HEALTH CARE CENTE,Somerset,NJ,Non profit
N J EASTERN STAR HOME,Somerset,NJ,Non profit
"PARKER AT SOMERSET, INC",Somerset,NJ,Non profit
REGENCY HERITAGE NURSING AND REHABILITATION CENTER,Somerset,NJ,For profit
REHAB AT RIVER'S EDGE,Somerset,NJ,For profit
SKILLED NURSING AT FELLOWSHIP VILLAGE,Somerset,NJ,Non profit
STONEBRIDGE AT MONTGOMERY HEALTH CARE CENTER,Somerset,NJ,Non profit
WILLOW CREEK REHAB AND CARE CE,Somerset,NJ,For profit
ANDOVER SUBACUTE AND REHAB I,Sussex,NJ,For profit
ANDOVER SUBACUTE AND REHAB II,Sussex,NJ,For profit
BARN HILL CARE CENTER,Sussex,NJ,For profit
HOMESTEAD REHABILITATION & HEALTH CARE CENTER,Sussex,NJ,For profit
VALLEY VIEW REHABILITATION AND HEALTHCARE CTR,Sussex,NJ,For profit
ALARIS HEALTH AT RIVERTON,Union,NJ,For profit
ARISTACARE AT DELAIRE,Union,NJ,For profit
ARISTACARE AT NORWOOD TERRACE,Union,NJ,For profit
ASHBROOK CARE & REHABILITATION CENTER,Union,NJ,For profit
AUTUMN LAKE HEALTHCARE AT BERKELEY HEIGHTS,Union,NJ,For profit
CHILDRENS SPECIALIZED HOSPITAL MOUNTAINSIDE,Union,NJ,Non profit
CLARK NURSING AND REHAB CNTR,Union,NJ,For profit
CONTINUING CARE AT LANTERN HILL,Union,NJ,Non profit
CRANFORD PARK REHABILITATION & HEALTHCARE CENTER,Union,NJ,For profit
CRANFORD REHAB & NURSING CENTER,Union,NJ,For profit
ELIZABETH NURSING AND REHAB,Union,NJ,For profit
ELMORA HILLS HEALTH & REHABILITATION CENTER,Union,NJ,For profit
JFK HARTWYCK AT CEDAR BROOK,Union,NJ,Non profit
MANOR CARE MOUNTAINSIDE,Union,NJ,Non profit
PLAZA HEALTHCARE & REHABILITATION CENTER,Union,NJ,For profit
RUNNELLS CENTER FOR REHABILITATION & HEALTHCARE,Union,NJ,For profit
SOUTH MOUNTAIN HC,Union,NJ,For profit
SPRING GROVE REHABILITATION AND HEALTHCARE CENTER,Union,NJ,For profit
TRINITAS HOSPITAL,Union,NJ,Non profit
WESTFIELD CENTER,Union,NJ,For profit
"WOODLANDS, THE",Union,NJ,For profit
BRAKELEY PARK CENTER,Warren,NJ,For profit
FOREST MANOR HCC,Warren,NJ,For profit
HOUSE OF THE GOOD SHEPHERD,Warren,NJ,Non profit
LOPATCONG CENTER,Warren,NJ,For profit
WARREN HAVEN REHAB AND NURSING CENTER,Warren,NJ,For profit
ADVANCED HEALTH CARE OF ALBUQUERQUE,Bernalillo,NM,For profit
LA VIDA LLENA,Bernalillo,NM,For profit
UPTOWN REHABILITATION CENTER,Bernalillo,NM,For profit
RED ROCKS CARE CENTER,Mckinley,NM,For profit
AZTEC HEALTHCARE,San Juan,NM,For profit
CEDAR RIDGE INN,San Juan,NM,For profit
LIFE CARE CENTER OF FARMINGTON,San Juan,NM,For profit
"WELBROOK SENIOR LIVING, LLC",San Juan,NM,For profit
NEIGHBORHOOD IN RIO RANCHO (THE),Sandoval,NM,For profit
ADVANCED HEALTH CARE OF SUMMERLIN,Clark,NV,For profit
CAREMERIDIAN-BUFFALO,Clark,NV,For profit
COLLEGE PARK REHABILITATION CENTER,Clark,NV,For profit
DELMAR GARDENS OF GREEN VALLEY,Clark,NV,For profit
EL JEN CONVALESCENT HOSPITAL AND RETIREMENT CENTER,Clark,NV,For profit
GAYE HAVEN INTERMEDIATE CARE FACILITY,Clark,NV,For profit
HARMON HOSPITAL - SNF,Clark,NV,For profit
HORIZON HEALTH AND REHABILITATION CENTER,Clark,NV,For profit
LAS VEGAS POST ACUTE & REHABILITATION,Clark,NV,For profit
LIFE CARE CENTER OF LAS VEGAS,Clark,NV,For profit
LIFE CARE CENTER OF SOUTH LAS VEGAS,Clark,NV,For profit
MISSION PINES NURSING & REHABILITATION CENTER,Clark,NV,For profit
NEURORESTORATIVE 4 KIDS,Clark,NV,For profit
NEVADA STATE VETERANS HOME - BOULDER CITY,Clark,NV,Government
NORTH LAS VEGAS CARE CENTER,Clark,NV,For profit
"PREMIER HEALTH & REHABILITATION CENTER OF LV, LP",Clark,NV,For profit
ROYAL SPRINGS HEALTHCARE AND REHAB,Clark,NV,For profit
SILVER HILLS HEALTH CARE CENTER,Clark,NV,For profit
SILVER RIDGE HEALTHCARE CENTER,Clark,NV,For profit
"THE HEIGHTS OF SUMMERLIN, LLC",Clark,NV,For profit
TLC CARE CENTER,Clark,NV,For profit
"TRANSITIONAL CARE OF LAS VEGAS, LLC",Clark,NV,For profit
ALTA SKILLED NURSING AND REHABILITATION CENTER,Washoe,NV,For profit
HEARTHSTONE OF NORTHERN NEVADA,Washoe,NV,For profit
LAKESIDE HEALTH & WELLNESS SUITES,Washoe,NV,For profit
BRONX CENTER FOR REHABILITATION & HEALTH CARE,Bronx,NY,For profit
BRONX GARDENS REHABILITATION AND NURSING CENTER,Bronx,NY,For profit
BRONXCARE SPECIAL CARE CENTER,Bronx,NY,Non profit
EAST HAVEN NURSING & REHABILITATION CENTER,Bronx,NY,For profit
KINGS HARBOR MULTICARE CENTER,Bronx,NY,For profit
SPLIT ROCK REHABILITION AND HEALTH CARE CENTER,Bronx,NY,For profit
ST PATRICKS HOME,Bronx,NY,Non profit
ST VINCENT DEPAUL RESIDENCE,Bronx,NY,Non profit
THE PLAZA REHAB AND NURSING CENTER,Bronx,NY,For profit
PINE HAVEN HOME,Columbia,NY,For profit
FERNCLIFF NURSING HOME CO INC,Dutchess,NY,For profit
BUFFALO CENTER FOR REHABILITATION AND NURSING,Erie,NY,For profit
FATHER BAKER MANOR,Erie,NY,Non profit
GARDEN GATE HEALTH CARE FACILITY,Erie,NY,For profit
"HARRIS HILL NURSING FACILITY, L L C",Erie,NY,For profit
BENSONHURST CENTER FOR REHAB AND HEALTHCARE,Kings,NY,For profit
COBBLE HILL HEALTH CENTER INC,Kings,NY,Non profit
CROWN HEIGHTS CENTER FOR NURSING AND REHAB,Kings,NY,For profit
DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,Kings,NY,For profit
DR SUSAN SMITH MCKINNEY NURSING AND REHAB CENTER,Kings,NY,Government
HAYM SOLOMON HOME FOR THE AGED,Kings,NY,For profit
KING DAVID CENTER FOR NURSING AND REHABILITATION,Kings,NY,For profit
OXFORD NURSING HOME,Kings,NY,For profit
SEA CREST NURSING AND REHABILITATION CENTER,Kings,NY,For profit
SEAGATE REHABILITATION AND NURSING CENTER,Kings,NY,For profit
SHORE VIEW NURSING  & REHABILITATION CENTER,Kings,NY,For profit
THE CHATEAU AT BROOKLYN REHAB AND NURSING CENTER,Kings,NY,For profit
JEWISH HOME OF ROCHESTER,Monroe,NY,Non profit
ST ANNS COMMUNITY,Monroe,NY,Non profit
ST JOHNS HEALTH CARE CORPORATION,Monroe,NY,Non profit
A HOLLY PATTERSON EXTENDED CARE FACILITY,Nassau,NY,Government
CENTRAL ISLAND HEALTHCARE,Nassau,NY,For profit
"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",Nassau,NY,For profit
GLEN COVE CENTER FOR NURSING AND REHABILITATION,Nassau,NY,For profit
HEMPSTEAD PARK NURSING HOME,Nassau,NY,For profit
HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,Nassau,NY,For profit
LONG BEACH NURSING AND REHABILITATION CENTER,Nassau,NY,For profit
LYNBROOK RESTORATIVE THERAPY AND NURSING,Nassau,NY,For profit
SUNHARBOR MANOR,Nassau,NY,For profit
THE GRAND REHABILITATION AND NURSING AT GREAT NECK,Nassau,NY,For profit
TOWNHOUSE CENTER FOR REHABILITATION & NURSING,Nassau,NY,For profit
WHITE OAKS REHABILITATION AND NURSING CENTER,Nassau,NY,For profit
ISABELLA GERIATRIC CENTER INC,New York,NY,Non profit
MARY MANNING WALSH NURSING HOME CO INC,New York,NY,Non profit
NEW GOUVERNEUR HOSPITAL S N F,New York,NY,Government
NORTHERN MANHATTAN REHABILITATION AND NURSING CTR,New York,NY,For profit
TERENCE CARDINAL COOKE HEALTH CARE CENTER,New York,NY,Non profit
"THE NEW JEWISH HOME, MANHATTAN",New York,NY,Non profit
THE RIVERSIDE,New York,NY,For profit
UPPER EAST SIDE REHABILITATION AND NURSING CENTER,New York,NY,For profit
MONTGOMERY NURSING AND REHABILITATION CENTER,Orange,NY,For profit
THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB,Orange,NY,Government
PUTNAM NURSING & REHABILITATION CENTER,Putnam,NY,For profit
CARING FAMILY NURSING AND REHABILITATION CENTER,Queens,NY,For profit
CLIFFSIDE REHAB & RESIDENTIAL HEALTH CARE CENTER,Queens,NY,For profit
DRY HARBOR NURSING HOME,Queens,NY,For profit
ELMHURST CARE CENTER INC,Queens,NY,For profit
FRANKLIN CENTER FOR REHABILITATION AND NURSING,Queens,NY,For profit
HOLLISWOOD CTR FOR REHABILITATION AND HEALTHCARE,Queens,NY,For profit
OZANAM HALL OF QUEENS NURSING HOME INC,Queens,NY,Non profit
PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,Queens,NY,Non profit
REGO PARK NURSING HOME,Queens,NY,For profit
SAPPHIRE CTR FOR REHAB & NRSG OF CTRL QUEENS,Queens,NY,For profit
THE GRAND REHABILITATION AND NURSING AT QUEENS,Queens,NY,For profit
CARMEL RICHMOND HEALTHCARE AND REHAB CENTER,Richmond,NY,Non profit
APEX REHABILITATION & CARE CENTER,Suffolk,NY,For profit
CARILLON NURSING AND REHABILITATION CENTER,Suffolk,NY,For profit
GOOD SAMARITAN NURSING HOME,Suffolk,NY,Non profit
GURWIN JEWISH NURSING AND REHABILITATION CENTER,Suffolk,NY,For profit
ISLAND NURSING AND REHAB CENTER,Suffolk,NY,Non profit
LUXOR NURSING AND REHABILITATION AT MILLS POND,Suffolk,NY,For profit
LUXOR NURSING AND REHABILITATION AT SAYVILLE,Suffolk,NY,For profit
OUR LADY OF CONSOLATION NURSING AND REHAB CARE CTR,Suffolk,NY,Non profit
PECONIC LANDING AT SOUTHOLD,Suffolk,NY,Non profit
SULLIVAN COUNTY ADULT CARE CENTER,Sullivan,NY,Government
MARTINE CENTER FOR REHABILITATION AND NURSING,Westchester,NY,For profit
NORTH WESTCHESTER RESTORATIVE THERAPY & NRSG CRT,Westchester,NY,For profit
REGENCY EXTENDED CARE CENTER,Westchester,NY,For profit
ST CABRINI NURSING HOME,Westchester,NY,Non profit
"THE NEW JEWISH HOME, SARAH NEUMAN",Westchester,NY,Non profit
THE WARTBURG HOME,Westchester,NY,Non profit
WESTCHESTER CENTER FOR REHABILITATION & NURSING,Westchester,NY,For profit
CARECORE AT LIMA LLC,Allen,OH,For profit
LIBERTY RETIREMENT COMMUNITY OF LIMA INC,Allen,OH,For profit
LIMA CONVALESCENT HOME,Allen,OH,Non profit
MENNONITE MEMORIAL HOME,Allen,OH,Non profit
SAYBROOK LANDING,Ashtabula,OH,For profit
OTTERBEIN ST MARYS RETIREMENT COMMUNITY,Auglaize,OH,Non profit
OTTERBEIN-CRIDERSVILLE,Auglaize,OH,Non profit
SIENNA HILLS NURSING & REHABILITATION,Belmont,OH,For profit
ARBORS AT MINERVA,Carroll,OH,For profit
SOUTHBROOK CARE CENTER,Clark,OH,For profit
EASTGATE HEALTH CARE CENTER,Clermont,OH,For profit
SALEM WEST HEALTHCARE CENTER,Columbiana,OH,For profit
ACCORD CARE COMMUNITY MIDDLEBURG HEIGHTS,Cuyahoga,OH,For profit
ARISTOCRAT BEREA HEALTHCARE AND REHABILITATION,Cuyahoga,OH,For profit
ELISABETH SEV PRENTISS CTR FOR,Cuyahoga,OH,Government
ELIZA BRYANT CENTER,Cuyahoga,OH,Non profit
FRANKLIN PLAZA EXTENDED CARE,Cuyahoga,OH,For profit
HIGHLAND POINTE HEALTH & REHAB CENTER,Cuyahoga,OH,For profit
JUDSON PARK,Cuyahoga,OH,Non profit
MANORCARE HEALTH SERVICES -  PARMA,Cuyahoga,OH,Non profit
MCGREGOR AT OVERLOOK,Cuyahoga,OH,Non profit
MENORAH PARK CENTER FOR SENIOR,Cuyahoga,OH,Non profit
NORMANDY MANOR OF ROCKY RIVER,Cuyahoga,OH,For profit
PARMA CARE CENTER,Cuyahoga,OH,For profit
SEVEN HILLS HEALTH & REHAB CENTER,Cuyahoga,OH,For profit
WESTPARK NEUROLOGY AND REHABILITATION CENTER,Cuyahoga,OH,For profit
GREENVILLE HEALTHCARE,Darke,OH,For profit
REST HAVEN NURSING HOME INC,Darke,OH,For profit
CRESTVIEW REHAB & SKILLED NRSG SRVCS,Fairfield,OH,For profit
ALTERCARE OF CANAL WINCHESTER POST-ACUTE RC,Franklin,OH,For profit
ARLINGTON COURT NURSING & REHABILITATION CENTER,Franklin,OH,For profit
BUCKEYE TERRACE REHABILITATION AND NURSING CENTER,Franklin,OH,For profit
CAPITAL CITY GARDENS REHABILITATION AND NURSING CE,Franklin,OH,For profit
CONTINUING HEALTHCARE OF GAHANNA,Franklin,OH,For profit
FIRST COMMUNITY VILLAGE HEALTHCARE CTR,Franklin,OH,Non profit
FOREST HILLS CENTER,Franklin,OH,For profit
FRIENDSHIP VILLAGE OF DUBLIN,Franklin,OH,Non profit
GRAND THE,Franklin,OH,For profit
HEARTLAND OF DUBLIN,Franklin,OH,Non profit
HEARTLAND OF WESTERVILLE,Franklin,OH,Non profit
ISABELLE RIDGWAY POST ACUTE  CARE CAMPUS LLC,Franklin,OH,For profit
"LAURELS OF WORTHINGTON, THE",Franklin,OH,For profit
MAJESTIC CARE OF WHITEHALL,Franklin,OH,For profit
MCNAUGHTEN POINTE NURSING AND REHAB,Franklin,OH,For profit
MILL RUN CARE CENTER,Franklin,OH,For profit
THE LAURELS OF GAHANNA,Franklin,OH,For profit
WESLEY GLEN HEALTH SERVICES CORP,Franklin,OH,Non profit
WEST PARK CARE CENTER LLC,Franklin,OH,For profit
WILLOW BROOK CHRISTIAN HOME,Franklin,OH,Non profit
BRIAR HILL HEALTH CARE RESIDEN,Geauga,OH,For profit
BURTON HEALTH CARE CENTER,Geauga,OH,For profit
BROOKWOOD RETIREMENT COMMUNITY,Hamilton,OH,For profit
BURLINGTON HOUSE REHAB & ALZHEIMER'S CARE CENTER,Hamilton,OH,For profit
CARECORE AT THE MEADOWS,Hamilton,OH,For profit
CLOVERNOOK HEALTH CARE AND REHABILITATION CENTER,Hamilton,OH,For profit
KENWOOD TERRACE CARE CENTER,Hamilton,OH,For profit
SANCTUARY POINTE NURSING & REHABILITATION CENTER,Hamilton,OH,For profit
TWIN LAKES,Hamilton,OH,Non profit
WEXFORD PLACE INC.,Hamilton,OH,For profit
SCENIC POINTE NURSING AND REHAB CTR,Holmes,OH,For profit
CARDINAL WOODS SKILLED NURSING & REHAB CTR,Lake,OH,For profit
OHIO LIVING BRECKENRIDGE VILLAGE,Lake,OH,Non profit
KINGSTON OF VERMILION,Lorain,OH,For profit
MAIN STREET CARE CENTER,Lorain,OH,For profit
O'NEILL HEALTHCARE NORTH RIDGEVILLE,Lorain,OH,For profit
WESLEYAN VILLAGE,Lorain,OH,Non profit
ADDISON HEIGHTS HEALTH AND REHABILITATION CENTER,Lucas,OH,For profit
CONCORD CARE CENTER OF TOLEDO,Lucas,OH,For profit
CONTINUING HEALTHCARE OF TOLEDO,Lucas,OH,For profit
DIVINE REHABILITATION AND NURSING AT SYLVANIA,Lucas,OH,For profit
FOUNDATION PARK CARE CENTER,Lucas,OH,For profit
FRANCISCAN CARE CTR SYLVANIA,Lucas,OH,Non profit
HEATHERDOWNS REHAB & RESIDENTI,Lucas,OH,For profit
KINGSTON CARE CENTER OF SYLVANIA,Lucas,OH,For profit
LAKES OF MONCLOVA HEALTH CAMPUS THE,Lucas,OH,For profit
LAURELS OF TOLEDO SKILLED NURSING AND REHABILITATI,Lucas,OH,For profit
LUTHERAN HOME AT TOLEDO,Lucas,OH,Non profit
ORCHARD VILLA,Lucas,OH,For profit
OTTERBEIN MONCLOVA,Lucas,OH,Non profit
PARK TERRACE NURSING AND REHABILITATION CENTER,Lucas,OH,For profit
PROMEDICA GOERLICH CENTER,Lucas,OH,Non profit
RIDGEWOOD MANOR,Lucas,OH,For profit
SPRING MEADOWS NURSING & REHABILITATION CENTRE,Lucas,OH,For profit
SUNSET VILLAGE,Lucas,OH,Non profit
THE GARDENS OF ST. FRANCIS,Lucas,OH,Non profit
WATERVILLE HEALTHCARE,Lucas,OH,For profit
BEEGHLY OAKS CENTER FOR REHABILITATION & HEALING,Mahoning,OH,For profit
CANFIELD ACRES LLC DBA WINDSOR HOUSE AT CANFIELD,Mahoning,OH,For profit
HUMILITY HOUSE,Mahoning,OH,Non profit
MASTERNICK MEMORIAL HEALTH CARE CENTER,Mahoning,OH,For profit
OHIO LIVING PARK VISTA,Mahoning,OH,Non profit
SHEPHERD OF THE VALLEY-BOARDMAN,Mahoning,OH,Non profit
ST MARY'S ALZHEIMER'S CENTER,Mahoning,OH,For profit
VISTA CENTER OF BOARDMAN,Mahoning,OH,For profit
WADSWORTH POINTE,Medina,OH,For profit
WESTERN RESERVE MASONIC COMM,Medina,OH,Non profit
KOESTER PAVILION,Miami,OH,Non profit
SPRINGMEADE HEALTHCENTER,Miami,OH,Non profit
ANNA MARIA OF AURORA,Portage,OH,For profit
ARBORS AT STREETSBORO,Portage,OH,For profit
WOODLANDS HEALTH AND REHAB CENTER,Portage,OH,For profit
MEADOWS OF LEIPSIC,Putnam,OH,For profit
ARBORS AT MIFFLIN,Richland,OH,For profit
BEST CARE NURSING & REHAB CTR,Scioto,OH,For profit
ALTERCARE OF ALLIANCE CTR FOR REHAB & NC INC,Stark,OH,For profit
"ALTERCARE OF NOBLES POND, INC",Stark,OH,For profit
"BETHANY NURSING HOME, INC",Stark,OH,For profit
JACKSON RIDGE REHABILITATION AND CARE CENTER,Stark,OH,For profit
MEADOW WIND HEALTH CARE CTR INC,Stark,OH,For profit
SAINT LUKE LUTHERAN HOME,Stark,OH,Non profit
ARBORS AT STOW,Summit,OH,For profit
BATH CREEK ESTATES,Summit,OH,For profit
BATH MANOR SPECIAL CARE CENTRE,Summit,OH,For profit
CONCORDIA AT SUMNER,Summit,OH,Non profit
DIVINE REHABILITATION AND NURSING AT CANAL POINTE,Summit,OH,For profit
HICKORY RIDGE NURSING & REHABILITATION  CENTER,Summit,OH,For profit
MANOR OF GRANDE VILLAGE,Summit,OH,For profit
OHIO LIVING ROCKYNOL,Summit,OH,Non profit
PEBBLE CREEK,Summit,OH,For profit
SEASONS NURSING AND REHAB,Summit,OH,For profit
STOW GLEN HEALTH CARE CENTER,Summit,OH,For profit
THE COLONY HEALTHCARE CENTER,Summit,OH,For profit
O'BRIEN MEMORIAL HEALTH CARE C,Trumbull,OH,For profit
SHEPHERD OF THE VALLEY - NILES,Trumbull,OH,Non profit
VISTA CENTER AT THE RIDGE,Trumbull,OH,For profit
WASHINGTON SQUARE HEALTHCARE CENTER,Trumbull,OH,For profit
WINDSOR HOUSE AT CHAMPION,Trumbull,OH,For profit
NEW DAWN REHABILITATION AND HEALTHCARE CENTER,Tuscarawas,OH,For profit
CEDARS OF LEBANON CARE CENTER,Warren,OH,For profit
CEDARVIEW CARE CENTER,Warren,OH,For profit
HEARTLAND OF MARIETTA,Washington,OH,Non profit
GLENDORA HEALTH CARE CENTER,Wayne,OH,For profit
SMITHVILLE WESTERN CARE CENTER,Wayne,OH,For profit
MANOR AT PERRYSBURG,Wood,OH,For profit
SKLD PERRYSBURG ILLUMINATE HC PERRYSBURG,Wood,OH,For profit
BROOKHAVEN EXTENSIVE CARE,Cleveland,OK,For profit
GRACE LIVING CENTER-NORMAN,Cleveland,OK,For profit
HOLIDAY HEIGHTS HEALTHCARE,Cleveland,OK,For profit
MEDICAL PARK WEST REHABILITATION & SKILLED CARE,Cleveland,OK,For profit
NOBLE HEALTH CARE CENTER,Cleveland,OK,Government
BEACON RIDGE,Creek,OK,For profit
SEILING NURSING CENTER,Dewey,OK,Government
GRACE LIVING CENTER-MANGUM,Greer,OK,For profit
PONCA CITY NURSING & REHABILITATION CENTER,Kay,OK,For profit
BROADWAY MANOR NURSING HOME,Muskogee,OK,For profit
CAPITOL HILL SKILLED NURSING AND THERAPY,Oklahoma,OK,For profit
CROSS TIMBERS NURSING AND REHABILIATION,Oklahoma,OK,For profit
PARCWAY,Oklahoma,OK,For profit
"SKIATOOK NURSING HOME,LLC",Osage,OK,For profit
NEW HOPE RETIREMENT & CARE CENTER,Pittsburg,OK,For profit
FRANCISCAN VILLA,Tulsa,OK,For profit
"OKLAHOMA METHODIST MANOR, INC.",Tulsa,OK,Non profit
THE VILLAGES AT SOUTHERN HILLS,Tulsa,OK,For profit
COWETA MANOR NURSING HOME,Wagoner,OK,For profit
BARTLESVILLE HEALTH AND REHABILITATION COMMUNITY,Washington,OK,For profit
CORVALLIS MANOR,Benton,OR,For profit
LEBANON VETERANS HOME,Linn,OR,Non profit
MARQUIS MARIAN ESTATES,Marion,OR,For profit
THE OAKS AT SHERWOOD PARK,Marion,OR,For profit
TIERRA ROSE CARE CENTER,Marion,OR,For profit
CORNERSTONE CARE OPTION,Multnomah,OR,For profit
FRIENDSHIP HEALTH CENTER,Multnomah,OR,Non profit
HEALTHCARE AT FOSTER CREEK,Multnomah,OR,For profit
LAURELHURST VILLAGE,Multnomah,OR,For profit
MARQUIS MILL PARK,Multnomah,OR,For profit
VILLAGE HEALTH CARE,Multnomah,OR,For profit
OREGON VETERANS HOME,Wasco,OR,Non profit
AVAMERE REHABILITATION OF BEAVERTON,Washington,OR,For profit
AVAMERE REHABILITATION OF HILLSBORO,Washington,OR,For profit
JOHN J KANE REGIONAL CENTER-GL,Allegheny,PA,Government
ST BARNABAS NURSING HOME,Allegheny,PA,Non profit
BRIGHTON REHABILITATION AND WELLNESS CENTER,Beaver,PA,For profit
SOUTHEASTERN PENNSYLVANIA VETERAN'S CENTER,Chester,PA,Government
BRETHREN VILLAGE,Lancaster,PA,Non profit
GARDEN SPOT VILLAGE,Lancaster,PA,Non profit
HAMILTON ARMS CENTER,Lancaster,PA,For profit
"HOMESTEAD VILLAGE, INC",Lancaster,PA,Non profit
LANDIS HOMES,Lancaster,PA,Non profit
MANORCARE HEALTH SERVICES-LANCASTER,Lancaster,PA,Non profit
"MENNONITE HOME, THE",Lancaster,PA,Non profit
PLEASANT VIEW COMMUNITIES,Lancaster,PA,Non profit
LEHIGH CENTER,Lehigh,PA,For profit
MANORCARE HEALTH SERVICES-BETHLEHEM (2021),Lehigh,PA,Non profit
NORTHAMPTON COUNTY-GRACEDALE,Northampton,PA,Government
RENAISSANCE HEALTHCARE & REHABILITATION CENTER,Philadelphia,PA,For profit
SAINT ELIZABETH MANOR EAST BAY,Bristol,RI,Non profit
BRENTWOOD NURSING HOME,Kent,RI,For profit
RIVERVIEW HEALTHCARE COMMUNITY,Kent,RI,For profit
WEST SHORE HEALTH CENTER,Kent,RI,For profit
WEST VIEW NURSING AND REHABILIATION CENTER,Kent,RI,For profit
VILLAGE HOUSE NURSING & REHABILITATION CENTER,Newport,RI,For profit
BANNISTER CTR FOR REHABILITATION AND HEALTH CARE,Providence,RI,For profit
BERKSHIRE PLACE,Providence,RI,For profit
BETHANY HOME OF RHODE ISLAND,Providence,RI,Non profit
CHARLESGATE NURSING CENTER,Providence,RI,For profit
CRYSTAL LAKE REHABILITATION AND CARE CENTER,Providence,RI,For profit
ELMHURST REHABILITATION & HEALTHCARE CENTER,Providence,RI,For profit
EVERGREEN HOUSE HEALTH CENTER,Providence,RI,For profit
GOLDEN CREST NURSING CENTRE,Providence,RI,For profit
GREENVILLE SKILLED NURSING AND REHABILITATION,Providence,RI,For profit
HALLWORTH HOUSE,Providence,RI,Non profit
HARRIS HEALTH CARE CENTER NORTH,Providence,RI,For profit
HERITAGE HILLS NURSING & REHABILITATION CENTER,Providence,RI,For profit
HOPKINS MANOR LTD,Providence,RI,For profit
MOUNT ST RITA HEALTH CENTRE,Providence,RI,Non profit
OAK HILL HEALTH & REHABILITATION CENTER,Providence,RI,For profit
OAKLAND GROVE HEALTH CARE CENTER,Providence,RI,For profit
ORCHARD VIEW MANOR,Providence,RI,For profit
ST ANTOINE RESIDENCE,Providence,RI,Non profit
SUMMIT COMMONS REHABILITATION AND HEALTH CARE CNT,Providence,RI,For profit
WOONSOCKET HEALTH CENTRE,Providence,RI,For profit
SCALABRINI VILLA,Washington,RI,Non profit
SOUTH KINGSTOWN NURSING AND REHAB CTR,Washington,RI,For profit
"ANCHOR REHAB AND HEALTHCARE CENTER OF AIKEN, LLC",Aiken,SC,For profit
CARLYLE SENIOR CARE OF AIKEN,Aiken,SC,For profit
JOHN EDWARD HARTER NURSING CENTER,Allendale,SC,For profit
BAYVIEW MANOR,Beaufort,SC,For profit
FRASER HEALTH CENTER,Beaufort,SC,Non profit
HEARTLAND HEALTH AND REHABILITATION CARE CENTER-HA,Charleston,SC,For profit
WHITE OAK MANOR - CHARLESTON,Charleston,SC,For profit
LAKE MARION NURSING FACILITY,Clarendon,SC,Non profit
WINDSOR MANOR,Clarendon,SC,Non profit
BETHEA BAPTIST HEALTHCARE CENTER,Darlington,SC,Non profit
RIDGEWAY MANOR HEALTHCARE CENTER,Fairfield,SC,For profit
BRUSHY CREEK POST ACUTE,Greenville,SC,For profit
GREENVILLE POST ACUTE,Greenville,SC,For profit
GREER REHABILITATION AND HEALTHCARE CENTER,Greenville,SC,For profit
HEARTLAND HEALTH CARE CENTER - GREENVILLE EAST,Greenville,SC,Non profit
POINSETT REHABILITATION AND HEALTHCARE CENTER,Greenville,SC,For profit
"SIMPSONVILLE REHABILITATION AND HEALTHCARE CENTER,",Greenville,SC,For profit
NHC HEALTHCARE - BLUFFTON,Jasper,SC,For profit
MCCOY MEMORIAL NURSING CENTER,Lee,SC,For profit
L.M.C.- EXTENDED CARE,Lexington,SC,Government
PRISMA HEALTH-LILA DOYLE,Oconee,SC,For profit
C M TUCKER JR NURSING CARE,Richland,SC,Government
HEARTLAND OF COLUMBIA REHAB AND NURSING CENTER,Richland,SC,For profit
MAGNOLIA MANOR - COLUMBIA,Richland,SC,For profit
PRUITTHEALTH- COLUMBIA,Richland,SC,For profit
THE HERITAGE AT LOWMAN REHAB AND HEALTHCARE,Richland,SC,Non profit
