Provider_Name,County,State,Ownership Type,Federal Provider Number
LAKE COOK REHAB & HEALTHCARE,Cook,IL,For profit,145971
LAKEFRONT NURSING & REHAB CTR,Cook,IL,For profit,145235
LAKEVIEW  REHAB & NURSING CENTER,Cook,IL,For profit,145654
LANDMARK OF DES PLAINES REHAB,Cook,IL,For profit,145334
LANDMARK OF RICHTON PARK REHAB & NSG CTR,Cook,IL,For profit,145424
LEE MANOR,Cook,IL,For profit,145382
LEMONT NURSING & REHAB CENTER,Cook,IL,For profit,145901
LEXINGTON OF CHICAGO RIDGE,Cook,IL,For profit,145700
LEXINGTON OF ORLAND PARK,Cook,IL,For profit,145899
LIEBERMAN CENTER FOR HEALTH & REHAB,Cook,IL,Non profit,145931
LINCOLNWOOD PLACE,Cook,IL,For profit,145786
LITTLE SISTERS OF THE POOR,Cook,IL,Non profit,146185
LITTLE VILLAGE NRSG & RHB CTR,Cook,IL,For profit,146018
MADO HEALTHCARE - UPTOWN,Cook,IL,For profit,146191
MANORCARE OF ARLINGTON HEIGHTS,Cook,IL,Non profit,145199
MANORCARE OF ELK GROVE VILLAGE,Cook,IL,Non profit,145689
MANORCARE OF HOMEWOOD,Cook,IL,Non profit,145684
MANORCARE OF OAK LAWN EAST,Cook,IL,Non profit,145363
MANORCARE OF OAK LAWN WEST,Cook,IL,Non profit,145087
MANORCARE OF PALOS HEIGHTS EAST,Cook,IL,Non profit,145607
MANORCARE OF PALOS HEIGHTS WEST,Cook,IL,Non profit,145893
"MATHER EVANSTON, THE",Cook,IL,Non profit,146145
MAYFIELD HEALTH CENTER,Cook,IL,For profit,145885
MEADOWBROOK MANOR - LAGRANGE,Cook,IL,For profit,146093
MERCY CIRCLE,Cook,IL,Non profit,146174
MIDWAY NEUROLOGICAL / REHAB CENTER,Cook,IL,For profit,145778
MONTGOMERY PLACE,Cook,IL,Non profit,145748
"MOSAIC OF LAKESHORE, THE",Cook,IL,For profit,145244
NILES NSG & REHAB CTR,Cook,IL,For profit,145696
NORRIDGE GARDENS,Cook,IL,For profit,145329
NORWOOD CROSSING,Cook,IL,Non profit,145974
OAK PARK OASIS,Cook,IL,For profit,145714
PALOS HEIGHTS REHABILITATION,Cook,IL,Non profit,145681
PARK VIEW REHAB CENTER,Cook,IL,For profit,145765
PARKSHORE ESTATES NURSING & REHAB,Cook,IL,For profit,145938
PAUL HOUSE & HEALTH CR CTR,Cook,IL,Non profit,145767
"PEARL OF ROLLING MEADOWS,THE",Cook,IL,For profit,145350
PERSHING GARDENS HEALTHCARE CENTER,Cook,IL,For profit,146078
PETERSON PARK HEALTH CARE CTR,Cook,IL,For profit,145838
PRAIRIE MANOR NRSG & REHAB CTR,Cook,IL,For profit,145629
PRAIRIE OASIS,Cook,IL,For profit,145927
PRESENCE MARYHAVEN NSG & REHAB,Cook,IL,Non profit,145741
PRESENCE RESURRECTION LIFE CTR,Cook,IL,Non profit,145960
PRESENCE RESURRECTION N & R,Cook,IL,Non profit,145324
PRESENCE SAINT BENEDICT N & R,Cook,IL,Non profit,145731
PRESENCE VILLA SCALABRINI N&R,Cook,IL,Non profit,145956
PRINCETON REHAB & HCC,Cook,IL,For profit,145688
SELFHELP HOME OF CHICAGO,Cook,IL,Non profit,146009
SHERIDAN VILLAGE NRSG & RHB,Cook,IL,For profit,145482
SMITH CROSSING,Cook,IL,Non profit,146110
SMITH VILLAGE,Cook,IL,Non profit,145904
SOUTH HOLLAND MANOR HTH & RHB,Cook,IL,For profit,145608
SOUTH SUBURBAN REHAB CENTER,Cook,IL,For profit,146132
SOUTHPOINT NURSING & REHAB CENTER,Cook,IL,For profit,145914
SOUTHVIEW MANOR,Cook,IL,For profit,146161
ST JOSEPH VILLAGE OF CHICAGO,Cook,IL,Non profit,145637
SYMPHONY AT 87TH STREET,Cook,IL,For profit,145983
SYMPHONY AT ARIA,Cook,IL,For profit,145946
SYMPHONY AT MIDWAY,Cook,IL,For profit,145995
SYMPHONY EVANSTON HEALTHCARE,Cook,IL,For profit,145803
SYMPHONY OF BRONZEVILLE,Cook,IL,For profit,145337
SYMPHONY OF CHICAGO WEST,Cook,IL,For profit,145661
SYMPHONY OF CRESTWOOD,Cook,IL,For profit,145718
SYMPHONY OF HANOVER PARK,Cook,IL,For profit,146143
SYMPHONY OF LINCOLN PARK,Cook,IL,For profit,145510
SYMPHONY OF MORGAN PARK,Cook,IL,For profit,145764
SYMPHONY OF SOUTH SHORE,Cook,IL,For profit,145977
TRI-STATE VILLAGE NRSG & RHB,Cook,IL,For profit,145879
UPTOWN HEALTH CENTER,Cook,IL,For profit,145881
VI AT THE GLEN,Cook,IL,For profit,146107
VILLA AT PALOS HEIGHTS,Cook,IL,For profit,145779
"VILLA AT SOUTH HOLLAND, THE",Cook,IL,For profit,145671
VILLA AT WINDSOR PARK,Cook,IL,For profit,145970
WARREN BARR GOLD COAST,Cook,IL,For profit,145336
WARREN BARR LINCOLN PARK,Cook,IL,For profit,145875
WARREN BARR SOUTH LOOP,Cook,IL,For profit,145632
WARREN PARK HEALTH & LIVING CTR,Cook,IL,For profit,145806
"WATERFORD CARE CENTER, THE",Cook,IL,For profit,145659
WATERFRONT TERRACE,Cook,IL,For profit,145939
WENTWORTH REHAB & HCC,Cook,IL,For profit,145429
WESLEY PLACE,Cook,IL,Non profit,145591
WESTCHESTER HEALTH & REHABILITATION,Cook,IL,For profit,145660
WESTMINSTER PLACE,Cook,IL,Non profit,145026
"WESTWOOD MANOR, THE",Cook,IL,For profit,146149
WINDSOR ESTATES NSG & REHAB,Cook,IL,For profit,145967
WINSTON MANOR CNV & NURSING,Cook,IL,For profit,14E169
WOODBRIDGE NURSING PAVILION,Cook,IL,For profit,145792
ABBINGTON REHAB & NURSING CTR,Du Page,IL,For profit,146065
ALDEN ESTATES OF NAPERVILLE,Du Page,IL,For profit,145582
ALDEN VALLEY RIDGE REHAB & HCC,Du Page,IL,For profit,145379
APERION CARE WEST CHICAGO,Du Page,IL,For profit,145830
ARISTA HEALTHCARE,Du Page,IL,For profit,145358
BEACON HILL,Du Page,IL,Non profit,145522
BRIA OF WESTMONT,Du Page,IL,For profit,145405
BRIDGEWAY SENIOR LIVING,Du Page,IL,For profit,145420
BROOKDALE BURR RIDGE,Du Page,IL,For profit,146094
BROOKDALE PLAZA LISLE SNF,Du Page,IL,For profit,146061
BURGESS SQUARE HEALTHCARE CTR,Du Page,IL,For profit,145219
CHATEAU NRSG & REHAB CENTER,Du Page,IL,For profit,145614
COVENANT LIVING - WINDSOR PARK,Du Page,IL,Non profit,145606
DUPAGE CARE CENTER,Du Page,IL,Government,145050
FOREST VIEW REHAB & NURSING CENTER,Du Page,IL,For profit,145752
"GROVE OF ELMHURST, THE",Du Page,IL,For profit,145339
LEXINGTON HLTH CR CTR-BLMNGDL,Du Page,IL,For profit,145638
LEXINGTON HLTH CR CTR-LOMBARD,Du Page,IL,For profit,145511
LEXINGTON OF ELMHURST,Du Page,IL,For profit,145711
MANORCARE OF HINSDALE,Du Page,IL,Non profit,145246
MEADOWBROOK MANOR - NAPERVILLE,Du Page,IL,For profit,145874
NAPERVILLE MANOR HTH & RHB CTR,Du Page,IL,For profit,145045
OAK BROOK CARE,Du Page,IL,For profit,145458
OAK TRACE,Du Page,IL,Non profit,145804
PARK PLACE CHRISTIAN COMMUNITY,Du Page,IL,For profit,146155
PROVIDENCE DOWNERS GROVE,Du Page,IL,Non profit,145657
ST PATRICK'S RESIDENCE,Du Page,IL,Non profit,145878
TABOR HILLS HEALTH CARE FAC,Du Page,IL,Non profit,145840
WEST CHICAGO TERRACE,Du Page,IL,For profit,14E392
WEST SUBURBAN NURSING & REHAB CENTER,Du Page,IL,For profit,145333
WESTMONT MANOR HLTH & RHB,Du Page,IL,For profit,145338
WHEATON VILLAGE NRSG & RHB CTR,Du Page,IL,For profit,145715
WINFIELD WOODS HEALTHCARE CTR,Du Page,IL,For profit,146168
WYNSCAPE HEALTH & REHAB,Du Page,IL,For profit,145213
ACCOLADE PAXTON SENIOR LIVING,Ford,IL,For profit,145449
A MERKLE C KNIPPRATH N H,Iroquois,IL,Non profit,146085
PRAIRIEVIEW LUTHERAN HOME,Iroquois,IL,Non profit,145953
INTEGRITY HC OF CARBONDALE,Jackson,IL,For profit,145757
MANOR COURT OF CARBONDALE,Jackson,IL,Non profit,146171
NEWTON CARE CENTER,Jasper,IL,For profit,145807
GALENA STAUSS NURSING HOME,Jo Daviess,IL,Non profit,146140
ALDEN COURTS OF WATERFORD,Kane,IL,For profit,146182
ALDEN OF WATERFORD,Kane,IL,For profit,146008
ASBURY GARDENS NSG & REHAB,Kane,IL,For profit,146170
AVONDALE ESTATES OF ELGIN,Kane,IL,For profit,146181
BRIA OF GENEVA,Kane,IL,For profit,146067
CITADEL CARE CENTER-ELGIN,Kane,IL,For profit,145004
ELMWOOD TERRACE HEALTHCARE CTR,Kane,IL,For profit,145663
FOX RIVER REHAB & HEALTHCARE,Kane,IL,For profit,145821
GREENFIELDS OF GENEVA,Kane,IL,Non profit,146166
"GROVE OF FOX VALLEY,THE",Kane,IL,For profit,145006
GROVE OF ST CHARLES,Kane,IL,For profit,145433
HERITAGE HEALTH-ELGIN,Kane,IL,For profit,145447
JENNINGS TERRACE,Kane,IL,Non profit,14A539
MICHAELSEN HEALTH CENTER,Kane,IL,Non profit,145409
SYMPHONY OF ORCHARD VALLEY,Kane,IL,For profit,145473
TOWER HILL HEALTHCARE CENTER,Kane,IL,For profit,145795
APERION CARE BRADLEY,Kankakee,IL,For profit,146112
CITADEL CARE CENTER-KANKAKEE,Kankakee,IL,For profit,145043
MILLER HEALTH CARE CENTER,Kankakee,IL,Non profit,145843
PRESENCE OUR LADY OF VICTORY,Kankakee,IL,Non profit,145536
HILLSIDE REHAB & CARE CENTER,Kendall,IL,For profit,145609
SYMPHONY AT THE TILLERS,Kendall,IL,For profit,146034
APERION CARE MARSEILLES,La Salle,IL,For profit,145295
APERION CARE HIGHWOOD,Lake,IL,For profit,145936
AVANTARA LONG GROVE,Lake,IL,For profit,145868
CLARIDGE HEALTHCARE CENTER,Lake,IL,For profit,145434
ELEVATE CARE RIVERWOODS,Lake,IL,For profit,145304
ELEVATE CARE WAUKEGAN,Lake,IL,For profit,145669
"GROVE AT THE LAKE,THE",Lake,IL,For profit,145665
LAKE FOREST PLACE,Lake,IL,For profit,145986
LEXINGTON OF LAKE ZURICH,Lake,IL,For profit,145816
PAVILION OF WAUKEGAN,Lake,IL,For profit,145621
RADFORD GREEN,Lake,IL,For profit,146136
ROLLING HILLS MANOR,Lake,IL,Non profit,145443
SYMPHONY OF BUFFALO GROVE,Lake,IL,For profit,145819
"TERRACE NURSING HOME,THE",Lake,IL,For profit,146159
"VILLAGE AT VICTORY LAKES, THE",Lake,IL,Non profit,145602
WARREN BARR LINCOLNSHIRE,Lake,IL,For profit,146028
WARREN BARR NORTH SHORE,Lake,IL,For profit,145923
WAUCONDA CARE,Lake,IL,For profit,145887
"WHITEHALL NORTH, THE",Lake,IL,For profit,145706
WINCHESTER HOUSE,Lake,IL,For profit,145460
FAIR HAVENS SENIOR LIVING,Macon,IL,For profit,145422
VILLA CLARA POST ACUTE,Macon,IL,For profit,145965
HERITAGE HEALTH-CARLINVILLE,Macoupin,IL,For profit,145456
EDEN VILLAGE CARE CENTER,Madison,IL,Non profit,145384
EDWARDSVILLE NSG & REHAB CTR,Madison,IL,For profit,145555
RIVERSIDE REHAB & HEALTHCARE,Madison,IL,For profit,145651
STEARNS NURSING & REHAB CENTER,Madison,IL,For profit,145847
HEARTLAND OF MACOMB,Mc Donough,IL,Non profit,145021
ALDEN TERRACE OF MCHENRY REHAB,Mc Henry,IL,For profit,145453
CROSSROADS CARE CTR WOODSTOCK,Mc Henry,IL,For profit,145222
FAIR OAKS HEALTH CARE CENTER,Mc Henry,IL,Non profit,145917
FLORENCE NURSING HOME,Mc Henry,IL,For profit,146127
"SPRINGS AT CRYSTAL LAKE, THE",Mc Henry,IL,For profit,145612
BLOOMINGTON REHABILITATION & HCC,Mc Lean,IL,For profit,145610
LUTHER OAKS,Mc Lean,IL,Non profit,146184
OAK HILL,Monroe,IL,Government,145445
MONTGOMERY NURSING & REHAB CTR,Montgomery,IL,For profit,145483
GENERATIONS AT PEORIA,Peoria,IL,For profit,145039
"LUTHERAN HOME, THE",Peoria,IL,Non profit,145768
SHARON HEALTH CARE WILLOWS,Peoria,IL,For profit,14E888
COULTERVILLE REHAB & HCC,Randolph,IL,For profit,145993
APERION CARE MOLINE,Rock Island,IL,For profit,146041
CENTENNIAL REHAB & HEALTHCARE,Rock Island,IL,For profit,145680
FRIENDSHIP MANOR,Rock Island,IL,Non profit,146099
GENERATIONS AT ROCK ISLAND,Rock Island,IL,For profit,145950
HOPE CREEK CARE CENTER,Rock Island,IL,Government,145269
ILLINI RESTORATIVE CARE,Rock Island,IL,Non profit,145703
ST ANTHONY'S NRSG & REHAB CENTER,Rock Island,IL,For profit,145387
VILLA HEALTH CARE EAST,Sangamon,IL,Non profit,145721
BRIA OF BELLEVILLE,St. Clair,IL,For profit,145668
BRIA OF CAHOKIA,St. Clair,IL,For profit,145613
HELIA SOUTHBELT HEALTHCARE,St. Clair,IL,For profit,145241
LEBANON CARE CENTER,St. Clair,IL,For profit,145897
MEMORIAL CARE CENTER,St. Clair,IL,For profit,145102
ST PAUL'S SENIOR COMMUNITY,St. Clair,IL,Non profit,146122
SWANSEA REHAB HEALTH CARE,St. Clair,IL,For profit,145981
GENERATIONS AT RIVERVIEW,Tazewell,IL,For profit,145524
INTEGRITY HC OF ANNA,Union,IL,For profit,146006
INTEGRITY HC OF COBDEN,Union,IL,For profit,145922
APERION CARE FAIRFIELD,Wayne,IL,For profit,146000
HARBOR CREST HOME,Whiteside,IL,Non profit,146158
ALDEN COURTS OF SHOREWOOD,Will,IL,For profit,146183
APERION CARE WILMINGTON,Will,IL,For profit,145316
JOLIET TERRACE,Will,IL,For profit,14E247
LAKESHORE REHAB & HEALTHCARE,Will,IL,For profit,145694
LAKEWOOD NRSG & REHAB CENTER,Will,IL,For profit,145761
MEADOWBROOK MANOR,Will,IL,For profit,145710
PARC JOLIET,Will,IL,For profit,145221
PRESENCE VILLA FRANCISCAN,Will,IL,Non profit,145029
SALEM VILLAGE NURSING & REHAB,Will,IL,For profit,145618
SPRING CREEK,Will,IL,For profit,146172
ST JAMES WELLNESS REHAB VILLAS,Will,IL,For profit,145611
SUNNY HILL NURSING HOME OF WILL COUNTY,Will,IL,Government,145892
SYMPHONY OF JOLIET,Will,IL,For profit,145372
VICTORIAN VILLAGE HLTH & WELL,Will,IL,Non profit,146178
ALDEN DEBES REHAB & HCC,Winnebago,IL,For profit,145142
AMBERWOOD CARE CENTRE,Winnebago,IL,For profit,145908
PRESENCE ST ANNE CENTER,Winnebago,IL,For profit,145563
RIVER BLUFF NURSING HOME,Winnebago,IL,Government,145771
ROCK RIVER HEALTH CARE,Winnebago,IL,For profit,145818
LIFE CARE CENTER OF FORT WAYNE,Allen,IN,For profit,155266
OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,Johnson,IN,Non profit,155771
MITCHELL MANOR,Lawrence,IN,Non profit,155324
BETHANY POINTE HEALTH CAMPUS,Madison,IN,For profit,155698
WILDWOOD HEALTHCARE CENTER,Marion,IN,For profit,155334
SIGNATURE HEALTHCARE OF NEWBURGH,Warrick,IN,For profit,155670
LIFE CARE CENTER OF BURLINGTON,Coffey,KS,For profit,175373
ADVANCED HEALTH CARE OF OVERLAND PARK,Johnson,KS,For profit,175542
BRIGHTON GARDENS OF PRAIRIE VILLAGE,Johnson,KS,For profit,175499
BROOKDALE ROSEHILL,Johnson,KS,For profit,175478
GARDEN TERRACE AT OVERLAND PARK,Johnson,KS,For profit,175158
STRATFORD COMMONS REHAB & HEALTH CARE CENTER,Johnson,KS,For profit,175549
VILLAGE SHALOM INC,Johnson,KS,Non profit,175441
CLEARWATER NURSING & REHABILITATION CENTER,Sedgwick,KS,For profit,175454
"BIG BLUE HEALTHCARE, INC, DBA RIVERBEND POST ACUTE",Wyandotte,KS,For profit,175298
LIFE CARE CENTER OF KANSAS CITY,Wyandotte,KS,For profit,175281
SIGNATURE HEALTHCARE AT SUMMIT MANOR REHAB & WELLN,Adair,KY,For profit,185052
BRIDGE POINT CENTER,Boone,KY,For profit,185090
FLORENCE PARK CARE CENTER,Boone,KY,For profit,185174
KINGSBROOK LIFECARE CENTER,Boyd,KY,Non profit,185449
CHARLESTON HEALTH CARE CENTER,Boyle,KY,For profit,185264
MORGANTOWN CARE & REHABILITATION CENTER,Butler,KY,For profit,185006
COLDSPRING TRANSITIONAL CARE CENTER,Campbell,KY,For profit,185476
HIGHLANDSPRING OF FT THOMAS,Campbell,KY,For profit,185383
WESTERN STATE NURSING FACILITY,Christian,KY,Government,185228
OWENSBORO CENTER,Daviess,KY,For profit,185236
EDMONSON CENTER,Edmonson,KY,For profit,185401
LEXINGTON COUNTRY PLACE,Fayette,KY,For profit,185160
RIVERVIEW HEALTH CARE CENTER,Floyd,KY,For profit,185151
BRADFORD SQUARE CENTER,Franklin,KY,For profit,185170
LANDMARK OF LANCASTER REHABILITATION AND NURSING C,Garrard,KY,For profit,185065
GRANT CENTER,Grant,KY,For profit,185265
GREEN ACRES HEALTHCARE,Graves,KY,For profit,185341
MAYFIELD HEALTH AND REHABILITATION,Graves,KY,For profit,185142
MILLS NURSING & REHABILITATION,Graves,KY,For profit,185279
GRAYSON NURSING AND REHABILITATION,Grayson,KY,Non profit,185177
SPRING VIEW NURSING & REHABILITATION,Grayson,KY,For profit,185309
HELMWOOD HEALTHCARE CENTER,Hardin,KY,For profit,185183
SIGNATURE HEALTHCARE AT NORTH HARDIN REHAB & WELLN,Hardin,KY,For profit,185180
HENDERSON NURSING AND REHABILITATION CENTER,Henderson,KY,For profit,185402
HILLSIDE CENTER,Hopkins,KY,For profit,185012
RIDGEWOOD TERRACE NURSING HOME,Hopkins,KY,For profit,185306
SIGNATURE HEALTHCARE AT JACKSON MANOR REHAB & WELL,Jackson,KY,For profit,185249
ESSEX NURSING AND REHABILITATION CENTER,Jefferson,KY,For profit,185288
HIGHLANDS NURSING AND REHABILITATION,Jefferson,KY,For profit,185039
"HILLCREEK REHAB AND CARE, LLC",Jefferson,KY,For profit,185095
KINDRED HOSPITAL - LOUISVILLE,Jefferson,KY,For profit,185361
LANDMARK OF LOUISVILLE REHABILITATION AND NURSING,Jefferson,KY,For profit,185122
LANDMARK OF RIVER CITY REHABILITATION AND NURSING,Jefferson,KY,For profit,185468
LOUISVILLE EAST POST ACUTE,Jefferson,KY,For profit,185178
MASONIC HOME OF LOUISVILLE,Jefferson,KY,For profit,185388
NAZARETH HOME,Jefferson,KY,For profit,185138
NAZARETH HOME CLIFTON,Jefferson,KY,Non profit,185442
PARK TERRACE HEALTH CAMPUS,Jefferson,KY,For profit,185462
RIVERS EDGE NURSING AND REHABILITATION CENTER,Jefferson,KY,For profit,185259
SIGNATURE HEALTHCARE AT SUMMERFIELD REHAB & WELLNE,Jefferson,KY,For profit,185300
SIGNATURE HEALTHCARE OF SOUTH LOUISVILLE,Jefferson,KY,For profit,185335
SPRINGHURST HEALTH AND REHAB,Jefferson,KY,Non profit,185305
SYCAMORE HEIGHTS HEALTH AND REHABILITATION,Jefferson,KY,For profit,185348
THE FORUM AT BROOKSIDE,Jefferson,KY,For profit,185194
TREYTON OAK TOWERS,Jefferson,KY,Non profit,185175
WESLEY MANOR,Jefferson,KY,Non profit,185136
MADONNA MANOR,Kenton,KY,Non profit,185241
ROSEDALE GREEN,Kenton,KY,Non profit,185225
VILLAGE CARE CENTER,Kenton,KY,Non profit,185440
THE JORDAN CENTER,Lawrence,KY,For profit,185131
"STANFORD CARE AND REHAB, LLC",Lincoln,KY,For profit,185244
RIVER'S BEND RETIREMENT COMMUNITY,Lyon,KY,Non profit,185410
LORETTO MOTHERHOUSE INFIRMARY,Marion,KY,Non profit,185276
CALVERT CITY CONVALESCENT CENTER,Marshall,KY,Non profit,185234
PARKVIEW NURSING & REHABILITATION CENTER,Mc Cracken,KY,For profit,185171
SUPERIOR CARE HOME,Mc Cracken,KY,For profit,185227
SIGNATURE HEALTHCARE AT COLONIAL REHAB & WELLNESS,Nelson,KY,For profit,185342
"BEAVER DAM NURSING & REHAB CENTER, INC",Ohio,KY,For profit,185334
RICHWOOD NURSING & REHAB,Oldham,KY,For profit,185438
GOOD SHEPHERD HEALTH AND REHABILITATION,Pike,KY,For profit,185222
FAIR OAKS HEALTH AND REHABILITATION,Russell,KY,For profit,185286
CHRISTIAN HEALTH CENTER,Warren,KY,Non profit,185419
GREENWOOD NURSING & REHABILITATION CENTER,Warren,KY,For profit,185187
HOPKINS CENTER,Warren,KY,For profit,185167
MAGNOLIA VILLAGE,Warren,KY,For profit,185435
HILLCREST HEALTH AND REHABILITATION CENTER,Whitley,KY,For profit,185125
ACADIA ST. LANDRY GUEST HOUSE,Acadia,LA,For profit,195564
CAMELOT PLACE,Acadia,LA,For profit,195544
ENCORE HEALTHCARE AND REHABILITATION CENTER (THE),Acadia,LA,Non profit,195426
SOUTHWIND NURSING & REHABILITATION CENTER,Acadia,LA,Non profit,195563
ASCENSION OAKS NURSING & REHABILITATION CENTER,Ascension,LA,For profit,195401
CHATEAU D'VILLE REHAB AND RETIREMENT,Ascension,LA,For profit,195491
GONZALES HEALTHCARE CENTER,Ascension,LA,For profit,195327
ASSUMPTION HEALTHCARE AND REHABILITATION,Assumption,LA,For profit,195498
BAYOU CHATEAU NURSING CTR,Avoyelles,LA,For profit,195546
COLONIAL NURSING HOME,Avoyelles,LA,For profit,195445
OAK HAVEN COMMUNITY CARE CENTER,Avoyelles,LA,Non profit,195575
LESLIE LAKES RETIREMENT CENTER,Bienville,LA,For profit,195572
"RINGGOLD NURSING AND REHABILITATION CENTER, LLC",Bienville,LA,For profit,195407
"WILLOW RIDGE NURSING AND REHABILITATION CENTER,LLC",Bienville,LA,For profit,195346
COLONIAL OAKS SKILLED NURSING AND REHABILITATION,Bossier,LA,For profit,195604
CYPRESS POINT NURSING & REHABILITATION CENTER,Bossier,LA,For profit,195452
GARDEN COURT HEALTH AND REHABILITATION CENTER,Bossier,LA,For profit,195247
PILGRIM MANOR SKILLED NURSING AND REHABILITATION,Bossier,LA,For profit,195594
RIVERVIEW CARE CENTER,Bossier,LA,For profit,195497
BOOKER T.WASHINGTON SKILLED NURSING AND REHABILITA,Caddo,LA,For profit,195615
BRADFORD SKILLED NURSING AND REHABILITATION (THE),Caddo,LA,For profit,195513
CLAIBORNE HEALTHCARE CENTER,Caddo,LA,For profit,195316
"GARDEN PARK NURSING & REHAB CTR, LLC",Caddo,LA,For profit,195248
GUEST HOUSE SKILLED NURSING REHABILITATION (THE),Caddo,LA,For profit,195380
"HARMONY HOUSE NURSING & REHAB CTR, INC",Caddo,LA,For profit,195404
HERITAGE MANOR OF STRATMORE NURSING & REHAB CTR,Caddo,LA,For profit,195486
HERITAGE MANOR WEST,Caddo,LA,For profit,195447
HIGHLAND PLACE REHAB AND NURSING CENTER,Caddo,LA,For profit,195350
LIVE OAK,Caddo,LA,Non profit,195597
PIERREMONT HEALTHCARE CENTER,Caddo,LA,For profit,195312
PROGRESSIVE CARE CENTER,Caddo,LA,Non profit,195136
ROSEVIEW NURSING AND REHABILITATION CENTER,Caddo,LA,For profit,195496
SHREVEPORT MANOR SKILLED NURSING & REHABILITATION,Caddo,LA,For profit,195515
SOUTHERN HILLS HEALTHCARE AND REHABILITATION,Caddo,LA,For profit,195519
SOUTHERN OAKS NURSING & REHABILITATION CENTER,Caddo,LA,For profit,195558
SPRING LAKE SKILLED NURSING AND REHABILITATION,Caddo,LA,For profit,195344
VILLAGE HEALTH CARE AT THE GLEN,Caddo,LA,Non profit,195533
VIVIAN HEALTHCARE CENTER,Caddo,LA,For profit,195325
CARE CENTER OF DEQUINCY (THE),Calcasieu,LA,For profit,195527
GARDENS AND GUARDIAN (THE),Calcasieu,LA,For profit,195636
HIGH HOPE CARE CENTER,Calcasieu,LA,For profit,195601
LAKE CHARLES CARE CENTER,Calcasieu,LA,For profit,195413
LANDMARK OF LAKE CHARLES,Calcasieu,LA,For profit,195630
"RESTHAVEN NURSING & REHAB CENTER, LLC",Calcasieu,LA,For profit,195414
ROSEWOOD NURSING CENTER,Calcasieu,LA,For profit,195422
COLUMNS COMMUNITY CARE CENTER ( THE ),Catahoula,LA,Non profit,195478
HERITAGE NURSING CENTER,Claiborne,LA,For profit,195518
PRESBYTERIAN VILLAGE OF HOMER,Claiborne,LA,Non profit,195579
CAMELOT LEISURE LIVING,Concordia,LA,For profit,195516
HERITAGE MANOR HEALTH & REHAB,Concordia,LA,For profit,195291
"DESOTO RETIREMENT & REHAB CTR, INC",De Soto,LA,For profit,195556
MANSFIELD NURSING CENTER,De Soto,LA,For profit,195539
AFFINITY NURSING & REHAB CENTER,E. Baton Rouge,LA,For profit,195505
"BATON ROUGE GEN MED CTR, SNF",E. Baton Rouge,LA,Non profit,195139
BATON ROUGE HEALTH CARE CENTER,E. Baton Rouge,LA,Non profit,195361
CAPITAL OAKS NURSING & REHABILITATION CENTER LLC,E. Baton Rouge,LA,For profit,195635
CAPITOL HOUSE NURSING AND REHAB CENTER,E. Baton Rouge,LA,For profit,195476
CARE CENTER THE,E. Baton Rouge,LA,For profit,195537
CARRINGTON PLACE OF BATON ROUGE,E. Baton Rouge,LA,For profit,195483
COLONIAL CARE RETIREMENT CENTER,E. Baton Rouge,LA,For profit,195512
FLANNERY OAKS GUEST HOUSE,E. Baton Rouge,LA,For profit,195477
GUEST HOUSE (THE),E. Baton Rouge,LA,For profit,195473
HERITAGE MANOR OF BATON ROUGE I I,E. Baton Rouge,LA,For profit,195389
JEFFERSON MANOR NURSING AND RE,E. Baton Rouge,LA,For profit,195471
LANDMARK OF BATON ROUGE,E. Baton Rouge,LA,For profit,195494
LANDMARK SOUTH NURSING & REHABILITATION CENTER,E. Baton Rouge,LA,For profit,195480
NORTHRIDGE CARE CENTER,E. Baton Rouge,LA,For profit,195561
NOTTINGHAM REGIONAL REHAB CENTER,E. Baton Rouge,LA,For profit,195488
OLD JEFFERSON COMMUNITY CARE CENTER,E. Baton Rouge,LA,Non profit,195571
